Date,Year,Month,Day,Category,Product Name,Sales Channel,Payment Method,Price IR,Qty,Discount IR,Revenue IR,Price,Discount,Revenue
01-05-2022,2022,5,Sunday,Film,Instax Mini Film (20s),Tokopedia Official,Credit Card,185000,1,9250,175750,10.62668735,0.531334367,10.09535298
01-05-2022,2022,5,Sunday,Film,Instax Mini Film (20s),Tokopedia Official,Credit Card,185000,1,0,185000,10.62668735,0,10.62668735
01-05-2022,2022,5,Sunday,Film,Instax Mini Film (20s),Shopee Mall,E-Wallet,185000,2,0,370000,10.62668735,0,21.25337469
01-05-2022,2022,5,Sunday,Camera,Instax Mini 11,Shopee Mall,Paylater,1100000,1,0,1100000,63.18570854,0,63.18570854
01-05-2022,2022,5,Sunday,Film,Instax Mini Film (20s),Shopee Mall,E-Wallet,185000,2,0,370000,10.62668735,0,21.25337469
01-05-2022,2022,5,Sunday,Film,Instax Mini Film (10s),Tokopedia Official,Credit Card,95000,1,4750,90250,5.456947556,0.272847378,5.184100178
01-05-2022,2022,5,Sunday,Accessories,Instax Photo Album,Tokopedia Official,Paylater,75000,1,0,75000,4.308116491,0,4.308116491
01-05-2022,2022,5,Sunday,Film,Instax Mini Film (10s),Shopee Mall,Credit Card,95000,1,0,95000,5.456947556,0,5.456947556
02-05-2022,2022,5,Monday,Film,Instax Mini Film (10s),Shopee Mall,E-Wallet,95000,1,0,95000,5.456947556,0,5.456947556
02-05-2022,2022,5,Monday,Accessories,Camera Case / Bag,Jakarta Official Store,Paylater,150000,1,7500,142500,8.616232983,0.430811649,8.185421334
02-05-2022,2022,5,Monday,Film,Instax Mini Film (20s),Jakarta Official Store,Bank Transfer,185000,1,0,185000,10.62668735,0,10.62668735
02-05-2022,2022,5,Monday,Film,Instax Square Film (10s),Tokopedia Official,Bank Transfer,150000,1,0,150000,8.616232983,0,8.616232983
02-05-2022,2022,5,Monday,Accessories,Camera Case / Bag,Tokopedia Official,Credit Card,150000,2,0,300000,8.616232983,0,17.23246597
02-05-2022,2022,5,Monday,Accessories,Instax Photo Album,Website,Paylater,75000,3,0,225000,4.308116491,0,12.92434947
03-05-2022,2022,5,Tuesday,Accessories,Instax Photo Album,Website,E-Wallet,75000,2,0,150000,4.308116491,0,8.616232983
03-05-2022,2022,5,Tuesday,Film,Instax Mini Film (10s),Shopee Mall,Bank Transfer,95000,1,0,95000,5.456947556,0,5.456947556
03-05-2022,2022,5,Tuesday,Accessories,Camera Case / Bag,Shopee Mall,Bank Transfer,150000,3,0,450000,8.616232983,0,25.84869895
04-05-2022,2022,5,Wednesday,Film,Instax Mini Film (20s),Shopee Mall,Bank Transfer,185000,3,0,555000,10.62668735,0,31.88006204
04-05-2022,2022,5,Wednesday,Film,Instax Mini Film (10s),Surabaya Branch,E-Wallet,95000,2,0,190000,5.456947556,0,10.91389511
04-05-2022,2022,5,Wednesday,Accessories,Camera Case / Bag,Jakarta Official Store,E-Wallet,150000,1,0,150000,8.616232983,0,8.616232983
04-05-2022,2022,5,Wednesday,Film,Instax Mini Film (10s),Tokopedia Official,Credit Card,95000,1,0,95000,5.456947556,0,5.456947556
04-05-2022,2022,5,Wednesday,Film,Instax Mini Film (10s),Shopee Mall,Bank Transfer,95000,1,0,95000,5.456947556,0,5.456947556
04-05-2022,2022,5,Wednesday,Film,Instax Square Film (10s),Tokopedia Official,Paylater,150000,1,0,150000,8.616232983,0,8.616232983
05-05-2022,2022,5,Thursday,Film,Instax Square Film (10s),Surabaya Branch,Paylater,150000,2,15000,285000,8.616232983,0.861623298,16.37084267
05-05-2022,2022,5,Thursday,Film,Instax Square Film (10s),Website,Bank Transfer,150000,2,30000,270000,8.616232983,1.723246597,15.50921937
05-05-2022,2022,5,Thursday,Accessories,Camera Case / Bag,Tokopedia Official,Credit Card,150000,1,30000,120000,8.616232983,1.723246597,6.892986386
