"Time","Film Camera","Brain rot","AI slop","Doomscrolling","Retro style","Vintage","Y2K aesthetic","2000s"
"2009-12-01",1,0,0,0,48,2,0,12
"2010-01-01",1,0,0,0,47,2,0,11
"2010-02-01",1,0,0,0,46,2,0,7
"2010-03-01",1,0,0,0,48,2,0,7
"2010-04-01",1,0,0,0,48,2,0,7
"2010-05-01",1,0,0,0,47,2,0,7
"2010-06-01",1,0,0,0,49,2,0,6
"2010-07-01",1,0,0,0,50,2,0,6
"2010-08-01",1,0,0,0,48,2,0,6
"2010-09-01",1,0,0,0,49,2,0,6
"2010-10-01",1,0,0,0,46,2,0,6
"2010-11-01",1,0,0,0,49,2,0,6
"2010-12-01",1,0,0,0,52,2,0,7
"2011-01-01",1,0,0,0,48,2,0,6
"2011-02-01",1,0,0,0,47,2,0,6
"2011-03-01",1,0,0,0,47,2,0,6
"2011-04-01",1,0,0,0,50,2,0,6
"2011-05-01",1,0,0,0,47,2,0,7
"2011-06-01",1,0,0,0,47,2,0,6
"2011-07-01",1,0,0,0,49,2,0,6
"2011-08-01",1,0,0,0,50,2,0,6
"2011-09-01",1,0,0,0,46,3,0,6
"2011-10-01",1,0,0,0,47,3,0,8
"2011-11-01",1,0,0,0,47,3,0,7
"2011-12-01",1,0,0,0,51,3,0,7
"2012-01-01",1,0,0,0,49,3,0,7
"2012-02-01",1,0,0,0,46,3,0,6
"2012-03-01",1,0,0,0,47,3,0,6
"2012-04-01",1,0,0,0,48,3,0,7
"2012-05-01",1,0,0,0,49,3,0,7
"2012-06-01",1,0,0,0,50,3,0,7
"2012-07-01",1,0,0,0,49,3,0,7
"2012-08-01",1,0,0,0,50,3,0,7
"2012-09-01",1,0,0,0,48,4,0,7
"2012-10-01",1,0,0,0,47,4,0,7
"2012-11-01",1,0,0,0,49,4,0,7
"2012-12-01",1,0,0,0,49,3,0,7
"2013-01-01",1,0,0,0,47,4,0,7
"2013-02-01",1,0,0,0,50,4,0,8
"2013-03-01",1,0,0,0,49,4,0,8
"2013-04-01",1,0,0,0,48,4,0,8
"2013-05-01",1,0,0,0,48,4,0,9
"2013-06-01",1,0,0,0,47,4,0,8
"2013-07-01",1,0,0,0,52,4,0,8
"2013-08-01",1,0,0,0,50,4,0,8
"2013-09-01",1,0,0,0,47,4,0,7
